order_id,order_date,customer,region,city,product,category,quantity,unit_price,discount,revenue,cost,profit,sales_channel
"SO-10052","2026-02-24","Vertex Labs","North","Alexandria","Beacon BI","Software","5","449","0","2245","785.75","1459.25","Direct"
"SO-10053","2026-02-25","Cedar Logistics","Greater Cairo","Cairo","Atlas Suite","Software","4","629","0","2516","956.08","1559.92","Online"
"SO-10054","2026-02-26","Canal Industries","Delta","Mansoura","Beacon BI","Software","3","449","0.12","1185.36","471.45","713.91","Partner"
"SO-10055","2026-02-27","Delta Foods","Canal","Ismailia","Atlas Suite","Software","2","629","0.06","1182.52","478.04","704.48","Direct"
"SO-10056","2026-02-28","Nile Retail Group","North","Alexandria","Beacon BI","Software","1","449","0","449","157.15","291.85","Online"
"SO-10057","2026-03-01","Harbor Trading","Greater Cairo","Cairo","Signal Sensor","Hardware","8","99","0","792","198","594","Partner"
"SO-10058","2026-03-02","Pyramids Health","Delta","Mansoura","FieldKit Pro","Hardware","7","179","0","1253","350.84","902.16","Direct"
"SO-10059","2026-03-03","Meridian Hotels","Canal","Ismailia","Signal Sensor","Hardware","6","99","0","594","148.5","445.5","Online"
"SO-10060","2026-03-04","Vertex Labs","North","Alexandria","FieldKit Pro","Hardware","5","179","0.06","841.3","250.6","590.7","Partner"
"SO-10061","2026-03-05","Cedar Logistics","Greater Cairo","Cairo","Signal Sensor","Hardware","4","99","0","396","99","297","Direct"
"SO-10062","2026-03-06","Canal Industries","Delta","Mansoura","FieldKit Pro","Hardware","3","179","0","537","150.36","386.64","Online"
"SO-10063","2026-03-07","Delta Foods","Canal","Ismailia","Signal Sensor","Hardware","2","99","0.12","174.24","49.5","124.74","Partner"
"SO-10064","2026-03-08","Nile Retail Group","North","Alexandria","FieldKit Pro","Hardware","1","179","0","179","50.12","128.88","Direct"
"SO-10065","2026-03-09","Harbor Trading","Greater Cairo","Cairo","Signal Sensor","Hardware","8","99","0.06","744.48","198","546.48","Online"
"SO-10066","2026-03-10","Pyramids Health","Delta","Mansoura","FieldKit Pro","Hardware","7","179","0","1253","350.84","902.16","Partner"
"SO-10067","2026-03-11","Meridian Hotels","Canal","Ismailia","Signal Sensor","Hardware","6","99","0","594","148.5","445.5","Direct"
"SO-10068","2026-03-12","Vertex Labs","North","Alexandria","FieldKit Pro","Hardware","5","179","0","895","250.6","644.4","Online"
"SO-10069","2026-03-13","Cedar Logistics","Greater Cairo","Cairo","Signal Sensor","Hardware","4","99","0","396","99","297","Partner"
"SO-10070","2026-03-14","Canal Industries","Delta","Mansoura","FieldKit Pro","Hardware","3","179","0.06","504.78","150.36","354.42","Direct"
"SO-10071","2026-03-15","Delta Foods","Canal","Ismailia","Signal Sensor","Hardware","2","99","0","198","49.5","148.5","Online"
"SO-10072","2026-03-16","Nile Retail Group","North","Alexandria","FieldKit Pro","Hardware","1","179","0.12","157.52","50.12","107.4","Partner"
"SO-10073","2026-03-17","Harbor Trading","Greater Cairo","Cairo","Signal Sensor","Hardware","8","99","0","792","198","594","Direct"
"SO-10074","2026-03-18","Pyramids Health","Delta","Mansoura","FieldKit Pro","Hardware","7","179","0","1253","350.84","902.16","Online"
"SO-10075","2026-03-19","Meridian Hotels","Canal","Ismailia","Signal Sensor","Hardware","6","99","0.06","558.36","148.5","409.86","Partner"
"SO-10076","2026-03-20","Vertex Labs","North","Alexandria","FieldKit Pro","Hardware","5","179","0","895","250.6","644.4","Direct"
"SO-10077","2026-03-21","Cedar Logistics","Greater Cairo","Cairo","Signal Sensor","Hardware","4","99","0","396","99","297","Online"
"SO-10078","2026-03-22","Canal Industries","Delta","Mansoura","FieldKit Pro","Hardware","3","179","0","537","150.36","386.64","Partner"
"SO-10079","2026-03-23","Delta Foods","Canal","Ismailia","Signal Sensor","Hardware","2","99","0","198","49.5","148.5","Direct"
"SO-10080","2026-03-24","Nile Retail Group","North","Alexandria","FieldKit Pro","Hardware","1","179","0.06","168.26","50.12","118.14","Online"
"SO-10081","2026-03-25","Harbor Trading","Greater Cairo","Cairo","Signal Sensor","Hardware","8","99","0.12","696.96","198","498.96","Partner"
"SO-10082","2026-03-26","Pyramids Health","Delta","Mansoura","FieldKit Pro","Hardware","7","179","0","1253","350.84","902.16","Direct"
"SO-10083","2026-03-27","Meridian Hotels","Canal","Ismailia","Signal Sensor","Hardware","6","99","0","594","148.5","445.5","Online"
"SO-10084","2026-03-28","Vertex Labs","North","Alexandria","FieldKit Pro","Hardware","5","179","0","895","250.6","644.4","Partner"
"SO-10085","2026-04-01","Cedar Logistics","Greater Cairo","Cairo","Orbit CRM","Software","4","289","0.06","1086.64","369.92","716.72","Direct"
"SO-10086","2026-04-02","Canal Industries","Delta","Mansoura","Pulse Support","Services","3","129","0","387","174.15","212.85","Online"
"SO-10087","2026-04-03","Delta Foods","Canal","Ismailia","Orbit CRM","Software","2","289","0","578","184.96","393.04","Partner"
"SO-10088","2026-04-04","Nile Retail Group","North","Alexandria","Pulse Support","Services","1","129","0","129","58.05","70.95","Direct"
"SO-10089","2026-04-05","Harbor Trading","Greater Cairo","Cairo","Orbit CRM","Software","8","289","0","2312","739.84","1572.16","Online"
"SO-10090","2026-04-06","Pyramids Health","Delta","Mansoura","Pulse Support","Services","7","129","0.12","794.64","406.35","388.29","Partner"
"SO-10091","2026-04-07","Meridian Hotels","Canal","Ismailia","Orbit CRM","Software","6","289","0","1734","554.88","1179.12","Direct"
"SO-10092","2026-04-08","Vertex Labs","North","Alexandria","Pulse Support","Services","5","129","0","645","290.25","354.75","Online"
"SO-10093","2026-04-09","Cedar Logistics","Greater Cairo","Cairo","Orbit CRM","Software","4","289","0","1156","369.92","786.08","Partner"
"SO-10094","2026-04-10","Canal Industries","Delta","Mansoura","Pulse Support","Services","3","129","0","387","174.15","212.85","Direct"
"SO-10095","2026-04-11","Delta Foods","Canal","Ismailia","Orbit CRM","Software","2","289","0.06","543.32","184.96","358.36","Online"
"SO-10096","2026-04-12","Nile Retail Group","North","Alexandria","Pulse Support","Services","1","129","0","129","58.05","70.95","Partner"
"SO-10097","2026-04-13","Harbor Trading","Greater Cairo","Cairo","Orbit CRM","Software","8","289","0","2312","739.84","1572.16","Direct"
"SO-10098","2026-04-14","Pyramids Health","Delta","Mansoura","Pulse Support","Services","7","129","0","903","406.35","496.65","Online"
"SO-10099","2026-04-15","Meridian Hotels","Canal","Ismailia","Orbit CRM","Software","6","289","0.12","1525.92","554.88","971.04","Partner"
"SO-10100","2026-04-16","Vertex Labs","North","Alexandria","Pulse Support","Services","5","129","0.06","606.3","290.25","316.05","Direct"
"SO-10101","2026-04-17","Cedar Logistics","Greater Cairo","Cairo","Orbit CRM","Software","4","289","0","1156","369.92","786.08","Online"
"SO-10102","2026-04-18","Canal Industries","Delta","Mansoura","Pulse Support","Services","3","129","0","387","174.15","212.85","Partner"
"SO-10103","2026-04-19","Delta Foods","Canal","Ismailia","Orbit CRM","Software","2","289","0","578","184.96","393.04","Direct"
"SO-10104","2026-04-20","Nile Retail Group","North","Alexandria","Pulse Support","Services","1","129","0","129","58.05","70.95","Online"
"SO-10105","2026-04-21","Harbor Trading","Greater Cairo","Cairo","Orbit CRM","Software","8","289","0.06","2173.28","739.84","1433.44","Partner"
"SO-10106","2026-04-22","Pyramids Health","Delta","Mansoura","Pulse Support","Services","7","129","0","903","406.35","496.65","Direct"
"SO-10107","2026-04-23","Meridian Hotels","Canal","Ismailia","Orbit CRM","Software","6","289","0","1734","554.88","1179.12","Online"
"SO-10108","2026-04-24","Vertex Labs","North","Alexandria","Pulse Support","Services","5","129","0.12","567.6","290.25","277.35","Partner"
"SO-10109","2026-04-25","Cedar Logistics","Greater Cairo","Cairo","Orbit CRM","Software","4","289","0","1156","369.92","786.08","Direct"
"SO-10110","2026-04-26","Canal Industries","Delta","Mansoura","Pulse Support","Services","3","129","0.06","363.78","174.15","189.63","Online"
"SO-10111","2026-04-27","Delta Foods","Canal","Ismailia","Orbit CRM","Software","2","289","0","578","184.96","393.04","Partner"
"SO-10112","2026-04-28","Nile Retail Group","North","Alexandria","Pulse Support","Services","1","129","0","129","58.05","70.95","Direct"
"SO-10113","2026-05-01","Harbor Trading","Greater Cairo","Cairo","Beacon BI","Software","8","449","0","3592","1257.2","2334.8","Online"
"SO-10114","2026-05-02","Pyramids Health","Delta","Mansoura","Atlas Suite","Software","7","629","0","4403","1673.14","2729.86","Partner"
"SO-10115","2026-05-03","Meridian Hotels","Canal","Ismailia","Beacon BI","Software","6","449","0.06","2532.36","942.9","1589.46","Direct"
"SO-10116","2026-05-04","Vertex Labs","North","Alexandria","Atlas Suite","Software","5","629","0","3145","1195.1","1949.9","Online"
"SO-10117","2026-05-05","Cedar Logistics","Greater Cairo","Cairo","Beacon BI","Software","4","449","0.12","1580.48","628.6","951.88","Partner"
"SO-10118","2026-05-06","Canal Industries","Delta","Mansoura","Atlas Suite","Software","3","629","0","1887","717.06","1169.94","Direct"
"SO-10119","2026-05-07","Delta Foods","Canal","Ismailia","Beacon BI","Software","2","449","0","898","314.3","583.7","Online"
"SO-10120","2026-05-08","Nile Retail Group","North","Alexandria","Atlas Suite","Software","1","629","0.06","591.26","239.02","352.24","Partner"
"SO-10121","2026-05-09","Harbor Trading","Greater Cairo","Cairo","Beacon BI","Software","8","449","0","3592","1257.2","2334.8","Direct"
"SO-10122","2026-05-10","Pyramids Health","Delta","Mansoura","Atlas Suite","Software","7","629","0","4403","1673.14","2729.86","Online"
"SO-10123","2026-05-11","Meridian Hotels","Canal","Ismailia","Beacon BI","Software","6","449","0","2694","942.9","1751.1","Partner"
"SO-10124","2026-05-12","Vertex Labs","North","Alexandria","Atlas Suite","Software","5","629","0","3145","1195.1","1949.9","Direct"
"SO-10125","2026-05-13","Cedar Logistics","Greater Cairo","Cairo","Beacon BI","Software","4","449","0.06","1688.24","628.6","1059.64","Online"
"SO-10126","2026-05-14","Canal Industries","Delta","Mansoura","Atlas Suite","Software","3","629","0.12","1660.56","717.06","943.5","Partner"
"SO-10127","2026-05-15","Delta Foods","Canal","Ismailia","Beacon BI","Software","2","449","0","898","314.3","583.7","Direct"
"SO-10128","2026-05-16","Nile Retail Group","North","Alexandria","Atlas Suite","Software","1","629","0","629","239.02","389.98","Online"
"SO-10129","2026-05-17","Harbor Trading","Greater Cairo","Cairo","Beacon BI","Software","8","449","0","3592","1257.2","2334.8","Partner"
"SO-10130","2026-05-18","Pyramids Health","Delta","Mansoura","Atlas Suite","Software","7","629","0.06","4138.82","1673.14","2465.68","Direct"
"SO-10131","2026-05-19","Meridian Hotels","Canal","Ismailia","Beacon BI","Software","6","449","0","2694","942.9","1751.1","Online"
"SO-10132","2026-05-20","Vertex Labs","North","Alexandria","Atlas Suite","Software","5","629","0","3145","1195.1","1949.9","Partner"
"SO-10133","2026-05-21","Cedar Logistics","Greater Cairo","Cairo","Beacon BI","Software","4","449","0","1796","628.6","1167.4","Direct"
"SO-10134","2026-05-22","Canal Industries","Delta","Mansoura","Atlas Suite","Software","3","629","0","1887","717.06","1169.94","Online"
"SO-10135","2026-05-23","Delta Foods","Canal","Ismailia","Beacon BI","Software","2","449","0.12","790.24","314.3","475.94","Partner"
"SO-10136","2026-05-24","Nile Retail Group","North","Alexandria","Atlas Suite","Software","1","629","0","629","239.02","389.98","Direct"
"SO-10137","2026-05-25","Harbor Trading","Greater Cairo","Cairo","Beacon BI","Software","8","449","0","3592","1257.2","2334.8","Online"
"SO-10138","2026-05-26","Pyramids Health","Delta","Mansoura","Atlas Suite","Software","7","629","0","4403","1673.14","2729.86","Partner"
"SO-10139","2026-05-27","Meridian Hotels","Canal","Ismailia","Beacon BI","Software","6","449","0","2694","942.9","1751.1","Direct"
"SO-10140","2026-05-28","Vertex Labs","North","Alexandria","Atlas Suite","Software","5","629","0.06","2956.3","1195.1","1761.2","Online"
"SO-10141","2026-06-01","Cedar Logistics","Greater Cairo","Cairo","FieldKit Pro","Hardware","4","195.11","0","780.44","218.52","561.92","Partner"
"SO-10142","2026-06-02","Canal Industries","Delta","Mansoura","Signal Sensor","Hardware","3","107.91","0","323.73","80.93","242.8","Direct"
"SO-10143","2026-06-03","Delta Foods","Canal","Ismailia","FieldKit Pro","Hardware","2","195.11","0","390.22","109.26","280.96","Online"
"SO-10144","2026-06-04","Nile Retail Group","North","Alexandria","Signal Sensor","Hardware","1","107.91","0.12","94.96","26.98","67.98","Partner"
"SO-10145","2026-06-05","Harbor Trading","Greater Cairo","Cairo","FieldKit Pro","Hardware","8","195.11","0.06","1467.23","437.05","1030.18","Direct"
"SO-10146","2026-06-06","Pyramids Health","Delta","Mansoura","Signal Sensor","Hardware","7","107.91","0","755.37","188.84","566.53","Online"
"SO-10147","2026-06-07","Meridian Hotels","Canal","Ismailia","FieldKit Pro","Hardware","6","195.11","0","1170.66","327.78","842.88","Partner"
"SO-10148","2026-06-08","Vertex Labs","North","Alexandria","Signal Sensor","Hardware","5","107.91","0","539.55","134.89","404.66","Direct"
"SO-10149","2026-06-09","Cedar Logistics","Greater Cairo","Cairo","FieldKit Pro","Hardware","4","195.11","0","780.44","218.52","561.92","Online"
"SO-10150","2026-06-10","Canal Industries","Delta","Mansoura","Signal Sensor","Hardware","3","107.91","0.06","304.31","80.93","223.38","Partner"
"SO-10151","2026-06-11","Delta Foods","Canal","Ismailia","FieldKit Pro","Hardware","2","195.11","0","390.22","109.26","280.96","Direct"
"SO-10152","2026-06-12","Nile Retail Group","North","Alexandria","Signal Sensor","Hardware","1","107.91","0","107.91","26.98","80.93","Online"
"SO-10153","2026-06-13","Harbor Trading","Greater Cairo","Cairo","FieldKit Pro","Hardware","8","195.11","0.12","1373.57","437.05","936.52","Partner"
"SO-10154","2026-06-14","Pyramids Health","Delta","Mansoura","Signal Sensor","Hardware","7","107.91","0","755.37","188.84","566.53","Direct"
"SO-10155","2026-06-15","Meridian Hotels","Canal","Ismailia","FieldKit Pro","Hardware","6","195.11","0.06","1100.42","327.78","772.64","Online"
"SO-10156","2026-06-16","Vertex Labs","North","Alexandria","Signal Sensor","Hardware","5","107.91","0","539.55","134.89","404.66","Partner"
"SO-10157","2026-06-17","Cedar Logistics","Greater Cairo","Cairo","FieldKit Pro","Hardware","4","195.11","0","780.44","218.52","561.92","Direct"
"SO-10158","2026-06-18","Canal Industries","Delta","Mansoura","Signal Sensor","Hardware","3","107.91","0","323.73","80.93","242.8","Online"
"SO-10159","2026-06-19","Delta Foods","Canal","Ismailia","FieldKit Pro","Hardware","2","195.11","0","390.22","109.26","280.96","Partner"
"SO-10160","2026-06-20","Nile Retail Group","North","Alexandria","Signal Sensor","Hardware","1","107.91","0.06","101.44","26.98","74.46","Direct"
"SO-10161","2026-06-21","Harbor Trading","Greater Cairo","Cairo","FieldKit Pro","Hardware","8","195.11","0","1560.88","437.05","1123.83","Online"
"SO-10162","2026-06-22","Pyramids Health","Delta","Mansoura","Signal Sensor","Hardware","7","107.91","0.12","664.73","188.84","475.89","Partner"
"SO-10163","2026-06-23","Meridian Hotels","Canal","Ismailia","FieldKit Pro","Hardware","6","195.11","0","1170.66","327.78","842.88","Direct"
"SO-10164","2026-06-24","Vertex Labs","North","Alexandria","Signal Sensor","Hardware","5","107.91","0","539.55","134.89","404.66","Online"
"SO-10165","2026-06-25","Cedar Logistics","Greater Cairo","Cairo","FieldKit Pro","Hardware","4","195.11","0.06","733.61","218.52","515.09","Partner"
"SO-10166","2026-06-26","Canal Industries","Delta","Mansoura","Signal Sensor","Hardware","3","107.91","0","323.73","80.93","242.8","Direct"
"SO-10167","2026-06-27","Delta Foods","Canal","Ismailia","FieldKit Pro","Hardware","2","195.11","0","390.22","109.26","280.96","Online"
"SO-10168","2026-06-28","Nile Retail Group","North","Alexandria","Signal Sensor","Hardware","1","107.91","0","107.91","26.98","80.93","Partner"
"SO-10169","2026-07-01","Harbor Trading","Greater Cairo","Cairo","Pulse Support","Services","8","98.04","0","784.32","352.94","431.38","Direct"
"SO-10170","2026-07-02","Pyramids Health","Delta","Mansoura","Orbit CRM","Software","7","180.1","0.06","1185.06","403.42","781.64","Online"
"SO-10171","2026-07-03","Meridian Hotels","Canal","Ismailia","Pulse Support","Services","6","98.04","0.12","517.65","264.71","252.94","Partner"
"SO-10172","2026-07-04","Vertex Labs","North","Alexandria","Orbit CRM","Software","5","180.1","0","900.5","288.16","612.34","Direct"
"SO-10173","2026-07-05","Cedar Logistics","Greater Cairo","Cairo","Pulse Support","Services","4","98.04","0","392.16","176.47","215.69","Online"
"SO-10174","2026-07-06","Canal Industries","Delta","Mansoura","Orbit CRM","Software","3","180.1","0","540.3","172.9","367.4","Partner"
"SO-10175","2026-07-07","Delta Foods","Canal","Ismailia","Pulse Support","Services","2","98.04","0.06","184.32","88.24","96.08","Direct"
"SO-10176","2026-07-08","Nile Retail Group","North","Alexandria","Orbit CRM","Software","1","180.1","0","180.1","57.63","122.47","Online"
"SO-10177","2026-07-09","Harbor Trading","Greater Cairo","Cairo","Pulse Support","Services","8","98.04","0","784.32","352.94","431.38","Partner"
"SO-10178","2026-07-10","Pyramids Health","Delta","Mansoura","Orbit CRM","Software","7","180.1","0","1260.7","403.42","857.28","Direct"
"SO-10179","2026-07-11","Meridian Hotels","Canal","Ismailia","Pulse Support","Services","6","98.04","0","588.24","264.71","323.53","Online"
"SO-10180","2026-07-12","Vertex Labs","North","Alexandria","Orbit CRM","Software","5","180.1","0.12","792.44","288.16","504.28","Partner"
"SO-10181","2026-07-13","Cedar Logistics","Greater Cairo","Cairo","Pulse Support","Services","4","98.04","0","392.16","176.47","215.69","Direct"
"SO-10182","2026-07-14","Canal Industries","Delta","Mansoura","Orbit CRM","Software","3","180.1","0","540.3","172.9","367.4","Online"
"SO-10183","2026-07-15","Delta Foods","Canal","Ismailia","Pulse Support","Services","2","98.04","0","196.08","88.24","107.84","Partner"
"SO-10184","2026-07-16","Nile Retail Group","North","Alexandria","Orbit CRM","Software","1","180.1","0","180.1","57.63","122.47","Direct"
"SO-10185","2026-07-17","Harbor Trading","Greater Cairo","Cairo","Pulse Support","Services","8","98.04","0.06","737.26","352.94","384.32","Online"
"SO-10186","2026-07-18","Pyramids Health","Delta","Mansoura","Orbit CRM","Software","7","180.1","0","1260.7","403.42","857.28","Partner"
"SO-10187","2026-07-19","Meridian Hotels","Canal","Ismailia","Pulse Support","Services","6","98.04","0","588.24","264.71","323.53","Direct"
"SO-10188","2026-07-20","Vertex Labs","North","Alexandria","Orbit CRM","Software","5","180.1","0","900.5","288.16","612.34","Online"
"SO-10189","2026-07-21","Cedar Logistics","Greater Cairo","Cairo","Pulse Support","Services","4","98.04","0.12","345.1","176.47","168.63","Partner"
"SO-10190","2026-07-22","Canal Industries","Delta","Mansoura","Orbit CRM","Software","3","180.1","0.06","507.88","172.9","334.98","Direct"
"SO-10191","2026-07-23","Delta Foods","Canal","Ismailia","Pulse Support","Services","2","98.04","0","196.08","88.24","107.84","Online"
"SO-10192","2026-07-24","Nile Retail Group","North","Alexandria","Orbit CRM","Software","1","180.1","0","180.1","57.63","122.47","Partner"
"SO-10193","2026-07-25","Harbor Trading","Greater Cairo","Cairo","Pulse Support","Services","8","98.04","0","784.32","352.94","431.38","Direct"
"SO-10194","2026-07-26","Pyramids Health","Delta","Mansoura","Orbit CRM","Software","7","180.1","0","1260.7","403.42","857.28","Online"
"SO-10195","2026-07-27","Meridian Hotels","Canal","Ismailia","Pulse Support","Services","6","98.04","0.06","552.95","264.71","288.24","Partner"
"SO-10196","2026-07-28","Vertex Labs","North","Alexandria","Orbit CRM","Software","5","180.1","0","900.5","288.16","612.34","Direct"
"SO-10197","2026-08-01","Cedar Logistics","Greater Cairo","Cairo","Atlas Suite","Software","4","629","0","2516","956.08","1559.92","Online"
"SO-10198","2026-08-02","Canal Industries","Delta","Mansoura","Beacon BI","Software","3","449","0.12","1185.36","471.45","713.91","Partner"
"SO-10199","2026-08-03","Delta Foods","Canal","Ismailia","Atlas Suite","Software","2","629","0","1258","478.04","779.96","Direct"
"SO-10200","2026-08-04","Nile Retail Group","North","Alexandria","Beacon BI","Software","1","449","0.06","422.06","157.15","264.91","Online"
"SO-10201","2026-08-05","Harbor Trading","Greater Cairo","Cairo","Atlas Suite","Software","8","629","0","5032","1912.16","3119.84","Partner"
"SO-10202","2026-08-06","Pyramids Health","Delta","Mansoura","Beacon BI","Software","7","449","0","3143","1100.05","2042.95","Direct"
"SO-10203","2026-08-07","Meridian Hotels","Canal","Ismailia","Atlas Suite","Software","6","629","0","3774","1434.12","2339.88","Online"
"SO-10204","2026-08-08","Vertex Labs","North","Alexandria","Beacon BI","Software","5","449","0","2245","785.75","1459.25","Partner"
"SO-10205","2026-08-09","Cedar Logistics","Greater Cairo","Cairo","Atlas Suite","Software","4","629","0.06","2365.04","956.08","1408.96","Direct"
"SO-10206","2026-08-10","Canal Industries","Delta","Mansoura","Beacon BI","Software","3","449","0","1347","471.45","875.55","Online"
"SO-10207","2026-08-11","Delta Foods","Canal","Ismailia","Atlas Suite","Software","2","629","0.12","1107.04","478.04","629","Partner"
